epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
62,392.594,1.20969,1.06879,1.27339,0.82175,0.70168,0.75468,0.40124,1.6762,1.16873,1.76231,0.0003961,0.0003961,0.0003961
63,398.015,1.23657,1.10536,1.27033,0.62962,0.62588,0.67663,0.39714,1.7007,1.13821,1.78875,0.0003862,0.0003862,0.0003862
64,404.378,1.298,1.13228,1.27348,0.68202,0.62506,0.70271,0.39875,1.76057,1.12467,1.8451,0.0003763,0.0003763,0.0003763
65,409.828,1.24325,1.00354,1.24349,0.75484,0.62202,0.73885,0.41095,1.7521,1.14331,1.82244,0.0003664,0.0003664,0.0003664
66,416.274,1.2822,1.07634,1.25958,0.75577,0.62813,0.75818,0.43218,1.73029,1.15388,1.79889,0.0003565,0.0003565,0.0003565
67,421.743,1.24288,1.04679,1.23908,0.70337,0.63582,0.7425,0.42389,1.73922,1.14718,1.82987,0.0003466,0.0003466,0.0003466
68,427.684,1.15389,1.00892,1.1984,0.83835,0.6642,0.74648,0.4177,1.74064,1.12882,1.87885,0.0003367,0.0003367,0.0003367
69,433.707,1.23352,1.05302,1.22595,0.74381,0.68267,0.72984,0.42574,1.75372,1.13611,1.87747,0.0003268,0.0003268,0.0003268
70,439.184,1.1845,0.98133,1.18316,0.74047,0.70117,0.7455,0.43204,1.79633,1.15649,1.89273,0.0003169,0.0003169,0.0003169
71,445.459,1.12362,1.04399,1.22959,0.73437,0.74203,0.7396,0.4146,1.86115,1.13043,1.96064,0.000307,0.000307,0.000307
72,450.994,1.17248,0.99403,1.21094,0.78667,0.75068,0.77685,0.43752,1.83581,1.08296,1.90625,0.0002971,0.0002971,0.0002971
73,457.667,1.19528,0.99619,1.20845,0.70321,0.68064,0.7299,0.41073,1.84456,1.09687,1.91648,0.0002872,0.0002872,0.0002872
74,463.32,1.09707,1.00707,1.218,0.76265,0.73241,0.75246,0.40112,1.89677,1.11878,1.98385,0.0002773,0.0002773,0.0002773
75,469.789,1.13912,0.90941,1.16623,0.68483,0.66829,0.72402,0.40192,1.8723,1.10626,1.98762,0.0002674,0.0002674,0.0002674
76,475.245,1.12513,0.9641,1.19926,0.69427,0.69647,0.74403,0.42952,1.81312,1.08775,1.93199,0.0002575,0.0002575,0.0002575
77,480.824,1.14748,0.92803,1.19028,0.68938,0.64368,0.72626,0.43986,1.77869,1.10496,1.89302,0.0002476,0.0002476,0.0002476
78,486.946,1.17662,0.90239,1.19892,0.6867,0.6385,0.70433,0.41167,1.79356,1.10951,1.91062,0.0002377,0.0002377,0.0002377
79,492.473,1.12218,0.91016,1.16622,0.85629,0.68378,0.74699,0.40927,1.79626,1.08408,1.90068,0.0002278,0.0002278,0.0002278
80,498.985,1.11116,0.93487,1.18866,0.63506,0.72515,0.73395,0.41541,1.81869,1.10438,1.9005,0.0002179,0.0002179,0.0002179
81,504.338,1.13556,0.94559,1.15951,0.67692,0.7294,0.75923,0.40256,1.84438,1.04329,1.94872,0.000208,0.000208,0.000208
82,510.855,1.0873,0.91595,1.17097,0.67676,0.72686,0.75088,0.40907,1.82955,1.01022,1.9575,0.0001981,0.0001981,0.0001981
83,516.316,1.01784,0.87344,1.18208,0.69222,0.73506,0.77283,0.40834,1.79753,1.00278,1.94182,0.0001882,0.0001882,0.0001882
84,522.487,1.16577,0.92338,1.19989,0.69023,0.72909,0.76691,0.40492,1.80351,1.0143,1.97573,0.0001783,0.0001783,0.0001783
85,528.408,1.20142,0.90734,1.18169,0.69984,0.77162,0.76688,0.4138,1.8236,1.01117,1.99958,0.0001684,0.0001684,0.0001684
86,533.983,1.09419,0.86697,1.15478,0.71524,0.78233,0.77914,0.42336,1.82964,1.01724,1.9815,0.0001585,0.0001585,0.0001585
87,540.296,1.02532,0.88041,1.15252,0.68329,0.75715,0.76534,0.41738,1.80919,1.02579,1.93441,0.0001486,0.0001486,0.0001486
88,545.751,1.00397,0.98756,1.20847,0.65435,0.73968,0.74525,0.41397,1.81406,1.03428,1.92899,0.0001387,0.0001387,0.0001387
89,552.284,1.08177,0.89167,1.14055,0.74392,0.77396,0.79175,0.40891,1.83162,1.02279,1.97356,0.0001288,0.0001288,0.0001288
90,557.879,1.06803,0.86267,1.14179,0.72205,0.77597,0.80438,0.42105,1.84773,1.0305,2.00042,0.0001189,0.0001189,0.0001189
91,564.447,0.94526,1.05202,1.16869,0.74847,0.77454,0.77994,0.41871,1.8793,1.04811,2.04035,0.000109,0.000109,0.000109
92,569.968,0.95767,1.03585,1.15014,0.74494,0.80735,0.76615,0.40706,1.86196,1.07476,2.00821,9.91e-05,9.91e-05,9.91e-05
93,575.877,0.95638,0.98827,1.12843,0.74172,0.80564,0.75714,0.40303,1.85189,1.06879,1.98598,8.92e-05,8.92e-05,8.92e-05
94,581.709,0.92445,1.01362,1.12794,0.72988,0.7999,0.75366,0.39877,1.8537,1.06655,1.97817,7.93e-05,7.93e-05,7.93e-05
95,587.23,0.95051,0.99049,1.17205,0.74225,0.7986,0.75545,0.39879,1.84732,1.0684,1.98806,6.94e-05,6.94e-05,6.94e-05
96,593.563,0.93807,0.97251,1.12361,0.74147,0.79811,0.7551,0.41752,1.85361,1.08285,2.0049,5.95e-05,5.95e-05,5.95e-05
97,598.975,0.99397,1.16833,1.22152,0.73824,0.79496,0.7655,0.42261,1.85348,1.07446,2.02443,4.96e-05,4.96e-05,4.96e-05
98,605.251,0.91522,0.89927,1.06486,0.72574,0.80421,0.77462,0.41141,1.85622,1.06732,2.03372,3.97e-05,3.97e-05,3.97e-05
99,610.635,0.9076,0.97519,1.10247,0.75148,0.8036,0.78064,0.40802,1.86072,1.07367,2.03963,2.98e-05,2.98e-05,2.98e-05
100,616.693,0.87407,0.90525,1.15365,0.73187,0.78283,0.7584,0.40213,1.85542,1.06428,2.03866,1.99e-05,1.99e-05,1.99e-05
